Entailment,Arg1,Arg2
sup,A24,A25
sup,A25,A26
sup,A26,A27
sup,A27,A28
sup,A28,A29
sup,A29,A30
sup,A30,A31
sup,A31,A32
sup,A32,A33
sup,A33,A34
sup,A34,A35
sup,A35,A36
sup,A36,A24
sup,A44,A45
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A53
sup,A53,A54
sup,A54,A55
sup,A55,A56
sup,A56,A57
sup,A57,A58
sup,A58,A59
sup,A59,A60
sup,A60,A61
sup,A61,A62
sup,A62,A63
sup,A63,A64
sup,A64,A47
sup,A74,A75
sup,A75,A76
sup,A76,A77
sup,A77,A78
sup,A78,A79
sup,A79,A80
sup,A80,A81
sup,A81,A74
sup,A180,A181
sup,A181,A182
sup,A182,A183
sup,A183,A184
sup,A184,A185
sup,A185,A186
sup,A186,A187
sup,A187,A188
sup,A188,A189
sup,A189,A190
sup,A190,A191
sup,A191,A180
sup,A192,A193
sup,A193,A194
sup,A194,A195
sup,A195,A196
sup,A196,A197
sup,A197,A192
sup,A212,A213
sup,A213,A214
sup,A214,A215
sup,A215,A216
sup,A216,A217
sup,A217,A218
sup,A218,A219
sup,A219,A220
sup,A220,A221
sup,A221,A222
sup,A222,A223
sup,A223,A224
sup,A224,A225
sup,A225,A226
sup,A226,A227
sup,A227,A228
sup,A228,A229
sup,A229,A230
sup,A230,A231
sup,A231,A232
sup,A232,A212
sup,A233,A234
sup,A234,A235
sup,A235,A236
sup,A236,A237
sup,A237,A238
sup,A238,A239
sup,A239,A240
sup,A240,A241
sup,A241,A233
sup,A259,A260
sup,A260,A261
sup,A261,A262
sup,A262,A263
sup,A263,A264
sup,A264,A265
sup,A265,A266
sup,A266,A267
sup,A267,A259
sup,A271,A272
sup,A272,A273
sup,A274,A275
sup,A275,A268
sup,A276,A277
sup,A280,A281
sup,A281,A282
sup,A284,A285
sup,A291,A292
sup,A293,A294
sup,A294,A295
sup,A295,A296
sup,A296,A297
sup,A297,A298
sup,A298,A299
sup,A299,A300
sup,A300,A301
sup,A301,A302
sup,A302,A303
sup,A303,A304
sup,A304,A293
sup,A305,A306
sup,A306,A307
sup,A307,A308
sup,A308,A309
sup,A309,A310
sup,A310,A311
sup,A311,A312
sup,A312,A313
sup,A313,A314
sup,A314,A305
sup,A334,A335
sup,A335,A336
sup,A336,A337
sup,A337,A338
sup,A338,A339
sup,A339,A340
sup,A340,A341
sup,A341,A342
sup,A342,A343
sup,A343,A344
sup,A344,A345
sup,A345,A346
sup,A346,A347
sup,A347,A348
sup,A348,A349
sup,A349,A350
sup,A350,A334
sup,A351,A352
sup,A352,A353
sup,A353,A354
sup,A354,A355
sup,A355,A356
sup,A356,A357
sup,A357,A358
sup,A358,A359
sup,A359,A360
sup,A360,A351
sup,A361,A362
sup,A362,A363
sup,A363,A361
sup,A365,A366
sup,A366,A367
sup,A368,A369
sup,A369,A370
sup,A370,A371
sup,A371,A364
sup,A388,A389
sup,A391,A392
sup,A394,A395
sup,A395,A396
sup,A396,A397
sup,A399,A400
sup,A407,A408
sup,A408,A409
sup,A410,A398
sup,A449,A450
sup,A451,A452
sup,A467,A468
sup,A468,A469
sup,A469,A470
sup,A470,A471
sup,A471,A472
sup,A472,A473
sup,A473,A467
sup,A4,A5
sup,A64,A65
sup,A81,A82
sup,A115,A116
sup,A167,A168
sup,A197,A198
sup,A232,A233
sup,A246,A247
sup,A249,A0
sup,A258,A259
sup,A267,A268
sup,A292,A293
sup,A304,A305
sup,A314,A315
sup,A333,A334
sup,A350,A351
sup,A363,A364
sup,A371,A372
sup,A387,A388
sup,A410,A411
sup,A466,A467
sup,A473,A474
sup,A483,A484
sup,A489,A490
sup,A499,A250
sup,A0,A296
sup,A0,A426
sup,A0,A456
sup,A0,A493
sup,A0,A247
sup,A0,A7
sup,A0,A445
sup,A0,A393
sup,A0,A459
sup,A0,A237
sup,A0,A371
sup,A2,A179
sup,A2,A295
sup,A2,A419
sup,A2,A287
sup,A2,A180
sup,A2,A400
sup,A2,A421
sup,A2,A74
sup,A4,A357
sup,A4,A20
sup,A4,A391
sup,A4,A287
sup,A4,A219
sup,A4,A483
sup,A4,A196
sup,A4,A255
sup,A4,A351
sup,A6,A104
sup,A6,A477
sup,A6,A170
sup,A6,A479
sup,A6,A486
sup,A6,A485
sup,A7,A338
sup,A7,A496
sup,A7,A249
sup,A7,A445
sup,A7,A93
sup,A7,A226
sup,A10,A163
sup,A10,A19
sup,A12,A273
sup,A13,A219
sup,A13,A458
sup,A13,A319
sup,A13,A434
sup,A13,A65
sup,A13,A105
sup,A15,A410
sup,A15,A108
sup,A15,A471
sup,A15,A369
sup,A17,A132
sup,A17,A72
sup,A17,A75
sup,A17,A48
sup,A18,A143
sup,A18,A297
sup,A18,A219
sup,A18,A157
sup,A18,A49
sup,A18,A345
sup,A18,A217
sup,A18,A267
sup,A18,A417
sup,A18,A68
sup,A18,A389
sup,A19,A390
sup,A19,A385
sup,A19,A218
sup,A19,A388
sup,A19,A275
sup,A19,A253
sup,A19,A192
sup,A19,A29
sup,A19,A115
sup,A19,A224
sup,A20,A408
sup,A20,A15
sup,A20,A95
sup,A20,A163
sup,A20,A447
sup,A21,A79
sup,A23,A250
sup,A23,A427
sup,A23,A455
sup,A23,A247
sup,A23,A189
sup,A23,A416
sup,A23,A471
sup,A25,A38
sup,A25,A36
sup,A25,A472
sup,A28,A477
sup,A28,A299
sup,A28,A135
sup,A28,A309
sup,A28,A3
sup,A28,A141
sup,A28,A183
sup,A28,A145
sup,A28,A339
sup,A28,A481
sup,A28,A45
sup,A29,A193
sup,A30,A320
sup,A30,A36
sup,A30,A128
sup,A30,A50
sup,A30,A274
sup,A30,A431
sup,A32,A441
sup,A32,A135
sup,A32,A314
sup,A32,A389
sup,A32,A449
sup,A32,A204
sup,A32,A180
sup,A32,A143
sup,A32,A91
sup,A32,A3
sup,A36,A23
sup,A36,A91
sup,A36,A282
sup,A36,A79
sup,A36,A477
sup,A36,A42
sup,A36,A438
sup,A36,A125
sup,A36,A366
sup,A36,A146
sup,A36,A252
sup,A36,A212
sup,A37,A286
sup,A37,A473
sup,A37,A166
sup,A37,A88
sup,A37,A359
sup,A37,A235
sup,A37,A395
sup,A37,A320
sup,A37,A412
sup,A37,A206
sup,A38,A494
sup,A38,A109
sup,A38,A237
sup,A38,A12
sup,A38,A336
sup,A38,A55
sup,A38,A133
sup,A38,A93
sup,A38,A456
sup,A38,A284
sup,A41,A122
sup,A41,A495
sup,A43,A151
sup,A43,A38
sup,A45,A81
sup,A45,A26
sup,A45,A210
sup,A45,A466
sup,A45,A71
sup,A45,A91
sup,A45,A298
sup,A48,A236
sup,A48,A218
sup,A48,A305
sup,A50,A366
sup,A50,A208
sup,A50,A147
sup,A50,A85
sup,A50,A177
sup,A57,A229
sup,A57,A152
sup,A57,A455
sup,A57,A48
sup,A57,A63
sup,A57,A44
sup,A57,A71
sup,A57,A386
sup,A57,A359
sup,A57,A219
sup,A57,A52
sup,A57,A373
sup,A60,A92
sup,A60,A311
sup,A60,A43
sup,A60,A168
sup,A60,A76
sup,A60,A150
sup,A60,A65
sup,A60,A84
sup,A60,A189
sup,A61,A274
sup,A61,A54
sup,A61,A458
sup,A61,A360
sup,A62,A161
sup,A62,A133
sup,A62,A436
sup,A62,A94
sup,A62,A493
sup,A62,A28
sup,A62,A1
sup,A62,A256
sup,A62,A111
sup,A62,A399
sup,A64,A222
sup,A64,A449
sup,A64,A398
sup,A64,A21
sup,A64,A190
sup,A64,A56
sup,A64,A14
sup,A64,A393
sup,A64,A107
sup,A65,A88
sup,A65,A144
sup,A65,A195
sup,A65,A45
sup,A69,A410
sup,A69,A154
sup,A69,A251
sup,A74,A180
sup,A74,A409
sup,A74,A15
sup,A74,A116
sup,A75,A359
sup,A75,A104
sup,A75,A43
sup,A75,A279
sup,A80,A179
sup,A80,A366
sup,A84,A3
sup,A84,A349
sup,A84,A259
sup,A84,A370
sup,A84,A219
sup,A84,A179
sup,A84,A49
sup,A84,A245
sup,A84,A128
sup,A84,A333
sup,A84,A278
sup,A86,A432
sup,A86,A270
sup,A86,A323
sup,A86,A450
sup,A86,A142
sup,A86,A285
sup,A86,A281
sup,A86,A409
sup,A86,A204
sup,A87,A200
sup,A87,A222
sup,A87,A7
sup,A87,A378
sup,A87,A47
sup,A87,A359
sup,A87,A309
sup,A88,A247
sup,A88,A331
sup,A89,A264
sup,A89,A35
sup,A89,A152
sup,A89,A40
sup,A89,A383
sup,A89,A68
sup,A89,A160
sup,A89,A117
sup,A92,A166
sup,A92,A214
sup,A92,A436
sup,A92,A17
sup,A92,A140
sup,A92,A58
sup,A92,A201
sup,A92,A164
sup,A92,A433
sup,A93,A312
sup,A93,A5
sup,A93,A289
sup,A93,A120
sup,A93,A211
sup,A93,A149
sup,A93,A236
sup,A97,A395
sup,A97,A178
sup,A98,A305
sup,A98,A328
sup,A98,A329
sup,A98,A269
sup,A98,A30
sup,A98,A121
sup,A101,A309
sup,A101,A386
sup,A101,A419
sup,A101,A371
sup,A102,A334
sup,A102,A32
sup,A102,A367
sup,A102,A351
sup,A104,A334
sup,A104,A338
sup,A105,A252
sup,A108,A332
sup,A108,A262
sup,A108,A181
sup,A108,A90
sup,A108,A183
sup,A108,A77
sup,A108,A72
sup,A109,A191
sup,A109,A425
sup,A109,A499
sup,A109,A388
sup,A109,A336
sup,A113,A380
sup,A113,A145
sup,A113,A48
sup,A113,A414
sup,A113,A173
sup,A113,A348
sup,A113,A175
sup,A113,A57
sup,A113,A253
sup,A113,A189
sup,A113,A406
sup,A113,A230
sup,A116,A327
sup,A116,A227
sup,A120,A170
sup,A120,A339
sup,A124,A411
sup,A124,A114
sup,A125,A114
sup,A125,A144
sup,A125,A223
sup,A125,A111
sup,A125,A382
sup,A125,A306
sup,A125,A85
sup,A125,A113
sup,A125,A493
sup,A125,A162
sup,A125,A88
sup,A125,A214
sup,A127,A302
sup,A127,A228
sup,A127,A63
sup,A129,A157
sup,A129,A94
sup,A129,A488
sup,A129,A195
sup,A130,A498
sup,A134,A236
sup,A134,A317
sup,A134,A5
sup,A134,A159
sup,A134,A54
sup,A137,A459
sup,A137,A153
sup,A137,A310
sup,A138,A284
sup,A138,A80
sup,A138,A383
sup,A138,A273
sup,A138,A137
sup,A138,A470
sup,A139,A16
sup,A139,A426
sup,A139,A378
sup,A139,A351
sup,A139,A396
sup,A140,A61
sup,A141,A263
sup,A141,A261
sup,A141,A60
sup,A141,A176
sup,A141,A114
sup,A142,A435
sup,A142,A470
sup,A142,A397
sup,A142,A424
sup,A142,A272
sup,A146,A276
sup,A146,A377
sup,A146,A139
sup,A146,A284
sup,A146,A148
sup,A146,A172
sup,A147,A340
sup,A147,A76
sup,A147,A292
sup,A147,A131
sup,A149,A457
sup,A149,A331
sup,A149,A367
sup,A149,A486
sup,A150,A470
sup,A150,A479
sup,A150,A163
sup,A151,A344
sup,A151,A430
sup,A151,A224
sup,A151,A21
sup,A152,A1
sup,A152,A259
sup,A152,A294
sup,A152,A368
sup,A152,A499
sup,A153,A3
sup,A153,A70
sup,A153,A203
sup,A153,A305
sup,A153,A225
sup,A154,A64
sup,A156,A457
sup,A156,A359
sup,A156,A247
sup,A156,A100
sup,A156,A442
sup,A156,A288
sup,A156,A444
sup,A156,A231
sup,A156,A443
sup,A156,A201
sup,A157,A439
sup,A159,A469
sup,A159,A79
sup,A159,A13
sup,A159,A452
sup,A159,A196
sup,A159,A401
sup,A159,A33
sup,A159,A462
sup,A159,A444
sup,A160,A395
sup,A160,A301
sup,A160,A429
sup,A162,A132
sup,A162,A199
sup,A162,A396
sup,A162,A4
sup,A163,A405
sup,A164,A364
sup,A164,A122
sup,A164,A394
sup,A164,A313
sup,A164,A190
sup,A164,A437
sup,A166,A394
sup,A166,A65
sup,A166,A260
sup,A166,A287
