ArgName,ArgBasicWeight,FinalWeight
A1319,0.24,0.477152322349797
A1318,0.75,0.5020489169502638
A1317,0.82,0.5116896743889857
A1312,0.88,0.5033728034387052
A1796,0.77,0.5022544217707952
A1311,0.01,0.4898242142851102
A1795,0.63,0.5161852569683876
A1310,0.56,0.4867513595870362
A1794,0.48,0.4907231185099128
A1793,0.14,0.5000420608442793
A1316,0.63,0.5191284988704226
A1315,0.67,0.50789050939171
A1799,0.17,0.4978507133782836
A1314,0.57,0.500747811749858
A1798,0.46,0.4801512896184857
A1313,0.63,0.5182405254218165
A1797,0.87,0.4978100802906105
A1309,0.31,0.4811444766621451
A1308,0.0,0.9346522362345726
A1307,0.89,0.5500696784281162
A1306,0.37,0.522485450702481
A1301,0.23,0.4886048795565031
A1785,0.91,0.4920571250677364
A1300,0.3,0.4999993894772477
A1784,0.8,0.4941779666861874
A1783,0.02,0.4966331368152064
A1782,0.06,0.497140585975076
A1305,0.3,0.4999517323822016
A1789,0.46,0.4694040659629744
A1304,0.49,0.499912151644832
A1788,0.53,0.5164276487020305
A1303,0.87,0.5064605004336902
A1787,0.51,0.5009680398449473
A1302,0.44,0.4920256119450037
A1786,0.19,0.4787238735155387
A1792,0.97,0.5043616228030793
A1791,0.83,0.5123762008771533
A1790,0.36,0.5047068924835871
A1339,0.03,0.4994571942279029
A1334,0.94,0.5004737511283328
A1333,0.35,0.4253547868472425
A1332,0.91,0.5058120673709254
A1331,0.74,0.4979108680445024
A1338,0.34,0.489229374594859
A1337,0.28,0.5000095576921412
A1336,0.43,0.4989461565488273
A1335,1.0,0.502101513589122
A1341,0.15,0.500086701801496
A1340,0.71,0.5175595261675559
A1329,0.1,0.4989457843254608
A1328,0.05,0.495661660691848
A1323,0.07,0.4992255679921977
A1322,0.14,0.5005120339216205
A1321,0.22,0.4996698190987658
A1320,0.52,0.5003217049005166
A1327,0.41,0.4996292263051565
A1326,0.53,0.4986213712754591
A1325,0.93,0.4999620162394369
A1324,0.18,0.5015592171475044
A1330,0.51,0.5051224285996349
A1759,0.48,0.4867608805994465
A1758,0.36,0.4954674501285408
A1757,0.41,0.5030771685364659
A1752,0.19,0.4999477759688999
A1751,0.11,0.4864228988627641
A1750,0.1,0.4977537002311139
A1756,0.75,0.4990282240901266
A1755,0.54,0.5004714656079896
A1754,0.36,0.499043478388846
A1753,0.04,0.4980581650656141
A709,0.36,0.4828951895902189
A1749,0.73,0.5010612074443345
A1748,0.08,0.4931109415495293
A707,0.59,0.4998613274791619
A1747,0.16,0.2889306905158496
A708,0.48,0.4966193957415857
A1746,0.35,0.4946129641550675
A705,0.51,0.5459079246652172
A706,0.26,0.4878122993983684
A703,0.08,0.5015814564281234
A704,1.0,0.5012320547709839
A701,0.42,0.4992159235205413
A1741,0.07,0.4993962549049152
A702,0.71,0.5214078457775273
A1740,0.95,0.5083755643111644
A700,0.95,0.5594546323349553
A1745,0.3,0.4999747185262149
A1744,0.01,0.499464969824328
A1743,0.61,0.5009902830911127
A1742,0.04,0.484482776195325
A718,0.49,0.4936378121975482
A719,0.53,0.4859234343487918
A1779,0.86,0.5011032925588856
A716,0.68,0.5005786825237252
A717,0.67,0.5071342656212829
A714,0.79,0.5017058473619977
A715,0.22,0.498909301376701
A712,0.49,0.5000011065819927
A1774,0.97,0.5017781376616457
A713,0.26,0.4588095734232665
A1773,0.83,0.5064073159754443
A710,0.17,0.4785415890806296
A1772,0.15,0.4895508045015414
A711,0.52,0.4998004743290475
A1771,0.29,0.4989789349521014
A1778,0.86,0.5000137078879433
A1777,0.87,0.513547761329106
A1776,0.61,0.4958124404818819
A1775,0.31,0.4595065344581648
A1781,0.58,0.510153849745914
A1780,0.88,0.5003333473908994
A729,0.25,0.4999351123859049
A1769,0.67,0.4984197658731497
A1768,0.67,0.5685222705378422
A727,0.51,0.5141558316453749
A728,0.49,0.4998019149336445
A725,0.73,0.5001633934556393
A726,0.93,0.5022406256562435
A723,0.56,0.4558037187772651
A1763,0.18,0.487851978725686
A724,0.11,0.4964807361240185
A1762,0.03,0.4633085623710561
A721,0.49,0.4962772291708739
A1761,0.92,0.5000008896499539
A722,0.37,0.4998198924414172
A1760,0.07,0.4996052748827948
A1767,0.64,0.4998374111351386
A720,0.68,0.5026464199064125
A1766,0.77,0.5098407866490227
A1765,0.07,0.5021229963459626
A1764,0.41,0.4970485532196425
A1770,0.53,0.5030733810170837
A1716,0.02,0.4718072905118348
A1715,0.22,0.4978875258087072
A1714,0.13,0.5087954782922707
A1713,0.08,0.4994247112031311
A738,0.98,0.5006254561083607
A739,0.88,0.5004270746853794
A1719,0.32,0.501142569850831
A736,0.27,0.4963005070480767
A1718,0.61,0.5019901348098956
A737,0.53,0.5003875404674526
A1717,0.3,0.5004036637875717
A734,0.45,0.4984041852646287
A735,0.74,0.5293863119269799
A732,0.74,0.4989289006863216
A733,0.66,0.5000412105795388
A730,0.04,0.4917671364260618
A1712,0.24,0.4965873016489112
A731,0.12,0.5005589742919769
A1711,0.48,0.4712236655030095
A1710,0.57,0.4967409131985185
A1705,0.37,0.6066832065238887
A1704,0.96,0.6362990104389517
A1703,0.83,0.5934842824102191
A1702,0.46,0.5078458865629404
A749,0.06,0.4999731913567232
A1709,0.07,0.4754976355620233
A1708,0.48,0.5006171733248487
A747,0.22,0.5074920356142247
A1707,0.34,0.4956291177288907
A748,0.23,0.5080333913012594
A1706,0.57,0.5156488351019795
A745,0.98,0.5006605032908518
A746,0.05,0.4965506489045134
A743,0.0,0.9919507006191928
A744,0.21,0.50002592652415
A741,0.3,0.4917095905881616
A1701,0.76,0.501811839071322
A742,0.19,0.4598221621854818
A1700,0.43,0.4964671427556576
A740,0.09,0.4845590374280685
A1738,0.18,0.502303558507471
A1737,0.77,0.4982818145057259
A1736,0.2,0.5000270055670558
A1735,0.39,0.5032811016606589
A758,0.05,0.4982101717234092
A759,0.88,0.4996489681774751
A1739,0.18,0.4850050588028237
A756,0.75,0.4923580643853392
A1730,0.73,0.5039246015586747
A757,0.68,0.5000426740496343
A754,0.67,0.5000450235188495
A755,0.18,0.5108044160882813
A752,0.19,0.4483326278141908
A1734,0.7,0.4971209986486946
A753,0.35,0.4890944085598406
A1733,0.55,0.5008597669630965
A750,0.35,0.4974651410066248
A1732,0.78,0.5265356562113881
A751,0.19,0.5014960417596639
A1731,0.46,0.4986231241866912
A1727,0.11,0.4933007565392564
A1726,0.77,0.4991807562469373
A1725,0.56,0.5326686179325537
A1724,0.58,0.4983137735078138
A769,0.9,0.5077350100106073
A1729,0.6,0.5005315740216538
A1728,0.31,0.5000074501103066
A767,0.11,0.4932355809066279
A768,0.07,0.445612953880561
A765,0.43,0.4967895353617548
A766,0.82,0.5021330898134754
A763,0.68,0.5000521621452187
A1723,0.42,0.4948650679695773
A764,0.23,0.4935839724414991
A1722,0.86,0.5004987534099768
A761,0.49,0.4989631126280461
A1721,0.91,0.5029279586161735
A762,0.1,0.503102539317623
A1720,0.45,0.560332217435668
A760,0.04,0.496377260889362
A778,0.65,0.4999688167385486
A779,0.04,0.502083499722716
A776,0.24,0.4915059873258108
A777,0.2,0.4987275159296072
A774,0.73,0.5097263284328083
A775,0.87,0.6110867100534694
A772,0.75,0.5245537241282894
A773,0.39,0.5069269745109577
A770,0.37,0.4817521061443079
A771,0.48,0.4999491502604882
A309,0.2,0.4999472368832432
A307,0.28,0.4996763690192246
A308,0.77,0.5384027874810916
A305,0.71,0.5000185253925422
A789,0.98,0.620922941322555
A306,0.62,0.4996479445580109
A303,0.47,0.5134572893255146
A787,0.71,0.4871872057293944
A304,0.98,0.5077070845205243
A788,0.25,0.500824768458856
A301,0.83,0.4997612782199164
A785,0.97,0.5072384243388052
A302,0.64,0.5067368412311317
A786,0.58,0.5030630050306976
A783,0.95,0.5000149661004717
A300,0.34,0.4905455331658461
A784,0.43,0.4942504095518411
A781,0.69,0.4996029296549664
A782,0.29,0.4989748161799708
A780,0.27,0.5334761507387775
A318,0.21,0.4882319753009097
A319,0.51,0.4971945004675649
A316,0.09,0.3855000428189714
A317,0.98,0.5003514858202339
A314,0.23,0.4497390833942252
A798,0.86,0.4894459755135368
A315,0.07,0.4984727693442708
A799,0.79,0.4886771938073399
A312,0.09,0.4999609589903668
A796,0.7,0.5000038135679896
A313,0.21,0.4945195884588685
A797,0.41,0.4793470376587817
A310,0.08,0.4974463789863197
A794,1.0,0.5593589780056897
A311,0.65,0.4914016114357062
A795,0.76,0.5001876472951964
A792,0.64,0.5021652516812206
A793,0.89,0.5015498669751693
A790,0.68,0.4999467721882032
A791,0.25,0.496952595167952
A329,0.31,0.490691211915202
A327,0.2,0.475276264608623
A328,0.71,0.5040918077571732
A325,0.25,0.4969429836071583
A326,0.12,0.4971139537812284
A323,0.63,0.4999725435452035
A324,0.46,0.4345580339530511
A321,0.12,0.4969487629639064
A322,0.45,0.4980129001885651
A320,0.85,0.5009550453727174
A338,0.97,0.5072480468810052
A339,0.39,0.5016768551052317
A336,0.6,0.5150381279176287
A337,0.53,0.4852572552156053
A334,0.82,0.5003397458628663
A335,0.81,0.5032971033705252
A332,0.34,0.4992097038217868
A333,0.71,0.5042610995544831
A330,0.52,0.496351248606973
A331,0.78,0.5040565429877748
A349,0.41,0.496837480765843
A347,0.62,0.4992067162713795
A348,0.09,0.4991949455068685
A345,0.77,0.4737932087966446
A346,0.33,0.490341470542761
