Entailment,Arg1,Arg2
sup,A1,A2
sup,A5,A6
sup,A6,A7
sup,A8,A9
sup,A12,A13
sup,A14,A15
sup,A15,A16
sup,A17,A18
sup,A19,A20
sup,A21,A22
sup,A22,A23
sup,A23,A24
sup,A25,A0
sup,A26,A27
sup,A27,A28
sup,A28,A29
sup,A29,A30
sup,A30,A31
sup,A31,A32
sup,A32,A33
sup,A33,A34
sup,A34,A35
sup,A35,A36
sup,A36,A37
sup,A37,A38
sup,A38,A39
sup,A39,A40
sup,A40,A41
sup,A41,A42
sup,A42,A43
sup,A43,A44
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A53
sup,A53,A54
sup,A54,A55
sup,A55,A56
sup,A56,A57
sup,A57,A58
sup,A58,A26
sup,A71,A72
sup,A73,A74
sup,A74,A75
sup,A77,A78
sup,A78,A79
sup,A79,A80
sup,A80,A81
sup,A81,A82
sup,A82,A83
sup,A83,A84
sup,A84,A85
sup,A85,A86
sup,A86,A87
sup,A87,A88
sup,A89,A90
sup,A91,A92
sup,A92,A93
sup,A94,A95
sup,A96,A97
sup,A98,A99
sup,A99,A100
sup,A101,A102
sup,A103,A104
sup,A104,A105
sup,A105,A106
sup,A109,A110
sup,A146,A147
sup,A147,A148
sup,A151,A152
sup,A154,A155
sup,A155,A156
sup,A156,A157
sup,A161,A162
sup,A162,A163
sup,A163,A164
sup,A164,A165
sup,A174,A175
sup,A176,A177
sup,A177,A178
sup,A178,A179
sup,A181,A182
sup,A182,A183
sup,A184,A185
sup,A185,A186
sup,A187,A188
sup,A188,A189
sup,A190,A191
sup,A193,A194
sup,A194,A195
sup,A195,A196
sup,A202,A203
sup,A203,A204
sup,A204,A205
sup,A210,A173
sup,A211,A212
sup,A213,A211
sup,A214,A215
sup,A215,A216
sup,A216,A217
sup,A217,A218
sup,A218,A219
sup,A219,A220
sup,A220,A221
sup,A221,A222
sup,A222,A223
sup,A223,A224
sup,A224,A225
sup,A225,A226
sup,A226,A227
sup,A227,A228
sup,A228,A229
sup,A229,A230
sup,A230,A231
sup,A231,A232
sup,A232,A233
sup,A233,A234
sup,A234,A235
sup,A235,A236
sup,A236,A237
sup,A237,A238
sup,A238,A239
sup,A239,A240
sup,A240,A241
sup,A241,A242
sup,A242,A243
sup,A243,A244
sup,A244,A245
sup,A245,A246
sup,A246,A247
sup,A247,A248
sup,A248,A249
sup,A249,A250
sup,A250,A251
sup,A251,A252
sup,A252,A253
sup,A253,A254
sup,A254,A214
sup,A255,A256
sup,A256,A257
sup,A259,A260
sup,A260,A261
sup,A261,A262
sup,A263,A264
sup,A264,A265
sup,A267,A268
sup,A270,A271
sup,A271,A272
sup,A272,A273
sup,A273,A274
sup,A274,A275
sup,A275,A276
sup,A276,A277
sup,A277,A278
sup,A278,A270
sup,A304,A305
sup,A305,A306
sup,A307,A308
sup,A308,A309
sup,A311,A312
sup,A312,A313
sup,A313,A314
sup,A317,A318
sup,A319,A320
sup,A324,A325
sup,A325,A326
sup,A327,A328
sup,A329,A330
sup,A330,A331
sup,A334,A335
sup,A337,A338
sup,A341,A342
sup,A343,A344
sup,A344,A345
sup,A345,A346
sup,A346,A347
sup,A347,A348
sup,A348,A343
sup,A349,A350
sup,A350,A351
sup,A351,A352
sup,A352,A353
sup,A353,A354
sup,A354,A355
sup,A355,A356
sup,A356,A357
sup,A357,A358
sup,A358,A359
sup,A359,A360
sup,A360,A349
sup,A362,A363
sup,A363,A364
sup,A364,A365
sup,A365,A366
sup,A368,A369
sup,A371,A372
sup,A373,A361
sup,A374,A375
sup,A376,A377
sup,A377,A378
sup,A379,A380
sup,A382,A383
sup,A383,A384
sup,A385,A386
sup,A386,A387
sup,A388,A389
sup,A389,A390
sup,A390,A391
sup,A391,A392
sup,A392,A374
sup,A393,A394
sup,A394,A395
sup,A395,A396
sup,A396,A397
sup,A397,A398
sup,A398,A399
sup,A399,A400
sup,A400,A393
sup,A401,A402
sup,A402,A403
sup,A403,A404
sup,A404,A405
sup,A405,A406
sup,A406,A407
sup,A407,A408
sup,A408,A409
sup,A409,A410
sup,A410,A411
sup,A411,A412
sup,A412,A413
sup,A413,A414
