Entailment,Arg1,Arg2
sup,A0,A1
sup,A1,A2
sup,A2,A3
sup,A3,A4
sup,A4,A5
sup,A5,A6
sup,A6,A7
sup,A7,A8
sup,A8,A9
sup,A9,A0
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A44
sup,A53,A54
sup,A54,A55
sup,A56,A57
sup,A57,A58
sup,A60,A61
sup,A61,A62
sup,A63,A64
sup,A64,A65
sup,A65,A66
sup,A67,A68
sup,A68,A69
sup,A70,A71
sup,A71,A72
sup,A72,A73
sup,A73,A53
sup,A105,A106
sup,A107,A108
sup,A109,A110
sup,A110,A111
sup,A112,A113
sup,A113,A114
sup,A114,A115
sup,A117,A118
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A125
sup,A126,A127
sup,A128,A129
sup,A131,A132
sup,A136,A137
sup,A137,A138
sup,A138,A139
sup,A139,A140
sup,A140,A141
sup,A143,A144
sup,A145,A146
sup,A149,A150
sup,A150,A151
sup,A153,A154
sup,A155,A130
sup,A177,A178
sup,A179,A180
sup,A181,A182
sup,A183,A184
sup,A184,A185
sup,A185,A186
sup,A186,A187
sup,A190,A191
sup,A191,A192
sup,A194,A195
sup,A199,A176
sup,A223,A224
sup,A224,A225
sup,A225,A226
sup,A226,A227
sup,A227,A228
sup,A228,A229
sup,A229,A230
sup,A230,A231
sup,A231,A232
sup,A232,A233
sup,A233,A234
sup,A234,A235
sup,A235,A223
sup,A261,A262
sup,A262,A263
sup,A266,A267
sup,A267,A268
sup,A268,A269
sup,A270,A271
sup,A271,A272
sup,A273,A274
sup,A274,A275
sup,A277,A261
sup,A280,A281
sup,A282,A283
sup,A284,A285
sup,A286,A287
sup,A288,A289
sup,A293,A294
sup,A294,A295
sup,A296,A297
sup,A300,A301
sup,A302,A278
sup,A303,A304
sup,A304,A305
sup,A306,A307
sup,A308,A309
sup,A309,A310
sup,A310,A311
sup,A312,A313
sup,A314,A315
sup,A315,A316
sup,A316,A317
sup,A317,A318
