Entailment,Arg1,Arg2
sup,A0,A1
sup,A2,A3
sup,A3,A4
sup,A5,A6
sup,A7,A8
sup,A8,A9
sup,A9,A10
sup,A10,A11
sup,A11,A12
sup,A14,A15
sup,A17,A0
sup,A18,A19
sup,A22,A23
sup,A27,A28
sup,A28,A29
sup,A29,A30
sup,A33,A34
sup,A34,A35
sup,A35,A36
sup,A37,A38
sup,A38,A18
sup,A39,A40
sup,A40,A41
sup,A41,A42
sup,A42,A43
sup,A43,A44
sup,A44,A45
sup,A45,A46
sup,A46,A47
sup,A47,A48
sup,A48,A49
sup,A49,A50
sup,A50,A51
sup,A51,A52
sup,A52,A53
sup,A53,A54
sup,A54,A55
sup,A55,A56
sup,A56,A57
sup,A57,A39
sup,A58,A59
sup,A60,A61
sup,A61,A62
sup,A62,A63
sup,A65,A66
sup,A67,A68
sup,A68,A69
sup,A71,A72
sup,A73,A74
sup,A75,A76
sup,A77,A78
sup,A81,A82
sup,A82,A83
sup,A85,A86
sup,A87,A58
sup,A89,A90
sup,A91,A92
sup,A92,A93
sup,A97,A98
sup,A99,A100
sup,A100,A101
sup,A102,A103
sup,A103,A104
sup,A108,A109
sup,A109,A110
sup,A111,A112
sup,A113,A114
sup,A114,A115
sup,A117,A88
sup,A118,A119
sup,A119,A120
sup,A120,A121
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A125
sup,A125,A126
sup,A126,A127
sup,A127,A128
sup,A128,A129
sup,A129,A130
sup,A130,A131
sup,A131,A132
sup,A132,A133
sup,A133,A134
sup,A134,A135
sup,A135,A136
sup,A136,A137
sup,A137,A138
sup,A138,A139
sup,A139,A140
sup,A140,A141
sup,A141,A142
sup,A142,A143
sup,A143,A144
sup,A144,A145
sup,A145,A118
sup,A146,A147
sup,A147,A148
sup,A180,A181
sup,A181,A182
sup,A185,A186
sup,A187,A188
sup,A188,A180
sup,A196,A197
sup,A197,A198
sup,A198,A199
sup,A199,A200
sup,A200,A201
sup,A201,A202
sup,A202,A203
sup,A203,A204
sup,A204,A196
sup,A205,A206
sup,A206,A207
sup,A207,A208
sup,A208,A209
sup,A209,A210
sup,A210,A211
sup,A211,A212
sup,A212,A205
sup,A213,A214
sup,A214,A215
sup,A215,A216
sup,A216,A217
sup,A217,A218
sup,A218,A219
sup,A219,A220
sup,A220,A221
sup,A221,A222
sup,A222,A223
