Entailment,Arg1,Arg2
sup,A10,A11
sup,A11,A9
sup,A12,A13
sup,A13,A14
sup,A14,A15
sup,A16,A17
sup,A17,A18
sup,A18,A19
sup,A20,A21
sup,A21,A22
sup,A24,A25
sup,A26,A27
sup,A28,A29
sup,A29,A12
sup,A54,A55
sup,A55,A56
sup,A56,A57
sup,A57,A58
sup,A58,A59
sup,A59,A60
sup,A60,A61
sup,A61,A62
sup,A62,A63
sup,A63,A64
sup,A64,A65
sup,A65,A66
sup,A66,A67
sup,A67,A54
sup,A83,A84
sup,A84,A85
sup,A85,A86
sup,A86,A87
sup,A87,A88
sup,A88,A89
sup,A89,A90
sup,A90,A91
sup,A91,A92
sup,A92,A93
sup,A93,A94
sup,A94,A95
sup,A95,A96
sup,A96,A97
sup,A97,A98
sup,A98,A83
sup,A100,A101
sup,A103,A104
sup,A104,A99
sup,A106,A107
sup,A108,A105
sup,A109,A110
sup,A110,A111
sup,A111,A112
sup,A112,A113
sup,A113,A114
sup,A114,A115
sup,A115,A116
sup,A116,A109
sup,A117,A118
sup,A118,A119
sup,A119,A120
sup,A120,A121
sup,A121,A122
sup,A122,A123
sup,A123,A124
sup,A124,A125
sup,A125,A126
sup,A126,A127
sup,A127,A128
sup,A128,A129
sup,A129,A130
sup,A130,A131
sup,A131,A132
sup,A132,A133
sup,A133,A134
sup,A134,A135
sup,A135,A117
sup,A136,A137
sup,A137,A138
sup,A138,A139
sup,A139,A140
sup,A140,A141
sup,A141,A142
sup,A142,A143
sup,A143,A144
sup,A144,A136
sup,A151,A152
sup,A152,A153
sup,A153,A154
sup,A154,A155
sup,A155,A156
sup,A156,A157
sup,A157,A151
sup,A161,A162
sup,A162,A163
sup,A163,A164
sup,A164,A161
sup,A189,A190
sup,A191,A189
sup,A193,A194
sup,A194,A195
sup,A196,A192
sup,A197,A198
sup,A201,A202
sup,A205,A206
sup,A207,A208
sup,A208,A209
sup,A210,A197
sup,A251,A252
sup,A252,A253
sup,A253,A251
sup,A254,A255
sup,A255,A256
sup,A256,A257
sup,A257,A258
sup,A258,A259
sup,A259,A260
sup,A260,A261
sup,A261,A262
sup,A262,A263
sup,A263,A264
sup,A264,A265
sup,A265,A266
sup,A266,A254
sup,A267,A268
sup,A268,A269
sup,A269,A270
sup,A274,A275
sup,A275,A276
sup,A311,A312
sup,A312,A313
sup,A313,A314
sup,A314,A310
sup,A315,A316
sup,A316,A317
sup,A317,A315
sup,A318,A319
sup,A319,A320
sup,A320,A321
sup,A321,A322
sup,A322,A323
sup,A323,A324
sup,A324,A325
sup,A325,A326
sup,A326,A327
sup,A327,A328
sup,A328,A329
sup,A329,A330
sup,A330,A318
sup,A331,A332
sup,A332,A333
sup,A333,A334
sup,A334,A335
sup,A335,A336
sup,A336,A337
sup,A337,A338
sup,A338,A339
sup,A339,A331
sup,A340,A341
sup,A341,A342
sup,A342,A343
sup,A343,A344
sup,A344,A345
sup,A345,A346
sup,A346,A347
sup,A347,A340
sup,A366,A367
sup,A367,A364
sup,A369,A370
sup,A371,A372
sup,A372,A373
sup,A374,A375
sup,A377,A378
sup,A379,A380
sup,A382,A383
sup,A383,A384
sup,A386,A387
sup,A387,A388
sup,A390,A391
sup,A394,A395
sup,A395,A377
sup,A396,A397
sup,A397,A398
sup,A398,A399
sup,A399,A396
sup,A11,A12
sup,A37,A38
sup,A50,A51
sup,A53,A54
sup,A72,A73
sup,A82,A83
sup,A98,A99
sup,A104,A105
sup,A116,A117
sup,A135,A136
sup,A144,A145
sup,A150,A151
sup,A157,A158
sup,A160,A161
sup,A164,A165
sup,A168,A169
sup,A184,A185
sup,A188,A189
sup,A196,A197
sup,A222,A223
sup,A232,A233
sup,A250,A251
sup,A314,A315
sup,A317,A318
sup,A330,A331
sup,A347,A348
sup,A367,A368
sup,A376,A377
sup,A395,A396
sup,A0,A154
sup,A5,A265
sup,A6,A349
sup,A6,A36
sup,A6,A6
sup,A7,A213
sup,A7,A109
sup,A7,A316
sup,A7,A314
sup,A7,A32
sup,A7,A361
sup,A7,A238
sup,A7,A220
sup,A7,A207
sup,A13,A341
sup,A15,A355
sup,A15,A9
sup,A15,A250
sup,A15,A76
sup,A15,A47
sup,A15,A107
sup,A15,A182
sup,A15,A298
sup,A15,A12
sup,A15,A29
sup,A15,A172
sup,A18,A383
sup,A20,A287
sup,A20,A301
sup,A20,A102
sup,A20,A93
sup,A20,A170
sup,A20,A2
sup,A23,A186
sup,A23,A38
sup,A23,A49
sup,A24,A371
sup,A24,A318
sup,A24,A181
sup,A24,A266
sup,A24,A146
sup,A30,A313
sup,A30,A240
sup,A30,A84
sup,A30,A139
sup,A30,A29
sup,A30,A352
sup,A30,A256
sup,A32,A162
sup,A32,A226
sup,A32,A189
sup,A32,A27
sup,A32,A347
sup,A32,A122
sup,A32,A181
sup,A33,A10
sup,A33,A120
sup,A33,A77
sup,A33,A265
sup,A35,A90
sup,A35,A117
sup,A35,A103
sup,A35,A306
sup,A35,A384
sup,A35,A192
sup,A35,A155
sup,A35,A346
sup,A35,A13
sup,A36,A234
sup,A36,A114
sup,A37,A67
sup,A37,A111
sup,A37,A200
sup,A37,A191
sup,A37,A192
sup,A37,A344
sup,A37,A302
sup,A37,A125
sup,A37,A375
sup,A38,A14
sup,A38,A363
sup,A39,A208
sup,A40,A182
sup,A40,A157
sup,A41,A10
sup,A41,A230
sup,A41,A91
sup,A42,A80
sup,A44,A164
sup,A44,A217
sup,A44,A246
sup,A44,A223
sup,A44,A44
sup,A44,A2
sup,A44,A386
sup,A45,A272
sup,A45,A239
sup,A45,A57
sup,A45,A141
sup,A45,A117
sup,A45,A9
sup,A45,A316
sup,A46,A350
sup,A46,A199
sup,A46,A343
sup,A48,A217
sup,A48,A61
sup,A50,A77
sup,A50,A343
sup,A50,A67
sup,A50,A45
sup,A50,A308
sup,A50,A268
sup,A50,A20
sup,A50,A383
sup,A50,A25
sup,A50,A273
sup,A50,A69
sup,A51,A64
sup,A51,A0
sup,A51,A50
sup,A51,A185
sup,A51,A20
sup,A52,A190
sup,A52,A32
sup,A52,A254
sup,A52,A314
sup,A55,A37
sup,A55,A36
sup,A57,A145
sup,A57,A177
sup,A57,A371
sup,A57,A292
sup,A57,A351
sup,A57,A65
sup,A57,A299
sup,A57,A123
sup,A57,A277
sup,A58,A101
sup,A58,A295
sup,A58,A22
sup,A58,A301
sup,A58,A69
sup,A58,A87
sup,A58,A218
sup,A58,A387
sup,A59,A215
sup,A59,A202
sup,A59,A126
sup,A59,A332
sup,A59,A240
sup,A61,A51
sup,A61,A384
sup,A61,A61
sup,A61,A119
sup,A61,A270
sup,A61,A46
sup,A61,A76
sup,A61,A193
sup,A61,A79
sup,A61,A238
sup,A63,A66
sup,A63,A16
sup,A63,A19
sup,A63,A164
sup,A63,A71
sup,A66,A29
sup,A66,A291
sup,A66,A34
sup,A66,A323
sup,A66,A148
sup,A66,A3
sup,A67,A18
sup,A67,A277
sup,A68,A119
sup,A68,A88
sup,A68,A176
sup,A68,A148
sup,A68,A130
sup,A68,A272
sup,A68,A231
sup,A68,A267
sup,A68,A38
sup,A69,A103
sup,A69,A67
sup,A69,A283
sup,A69,A165
sup,A69,A74
sup,A69,A106
sup,A69,A309
sup,A69,A381
sup,A71,A183
sup,A71,A67
sup,A71,A342
sup,A71,A32
sup,A71,A161
sup,A71,A132
sup,A71,A193
sup,A72,A77
sup,A72,A367
sup,A72,A278
sup,A72,A58
sup,A72,A31
sup,A72,A8
sup,A75,A236
sup,A78,A286
sup,A78,A36
sup,A78,A311
sup,A78,A333
sup,A84,A68
sup,A84,A348
sup,A85,A102
sup,A85,A2
sup,A85,A369
sup,A85,A260
sup,A85,A94
sup,A85,A25
sup,A86,A207
sup,A86,A393
sup,A86,A111
sup,A86,A72
sup,A86,A93
sup,A88,A203
sup,A88,A70
sup,A88,A288
sup,A88,A257
sup,A88,A189
sup,A88,A266
sup,A88,A332
sup,A89,A117
sup,A89,A383
sup,A89,A302
sup,A89,A158
sup,A89,A380
sup,A89,A190
sup,A89,A112
sup,A89,A382
sup,A94,A98
sup,A94,A120
sup,A94,A279
sup,A94,A129
sup,A95,A265
sup,A95,A331
sup,A95,A60
sup,A97,A153
sup,A97,A161
sup,A97,A368
sup,A97,A346
sup,A97,A218
sup,A97,A120
sup,A97,A72
sup,A97,A170
sup,A98,A259
sup,A98,A347
sup,A98,A82
sup,A98,A71
sup,A98,A300
sup,A98,A171
sup,A100,A318
sup,A100,A273
sup,A100,A304
sup,A105,A307
sup,A105,A397
sup,A105,A140
sup,A105,A330
sup,A105,A386
sup,A105,A332
sup,A105,A319
sup,A105,A99
sup,A105,A213
sup,A105,A218
sup,A105,A238
sup,A106,A303
sup,A106,A5
sup,A106,A247
sup,A106,A84
sup,A106,A218
sup,A106,A382
sup,A106,A314
sup,A106,A2
sup,A106,A135
sup,A106,A192
sup,A106,A315
sup,A106,A343
sup,A107,A397
sup,A107,A281
sup,A107,A370
sup,A107,A45
sup,A107,A107
sup,A107,A192
sup,A107,A26
sup,A107,A189
sup,A107,A330
sup,A107,A67
sup,A108,A244
sup,A108,A122
sup,A108,A365
sup,A108,A368
sup,A110,A120
sup,A110,A247
sup,A110,A221
sup,A110,A396
sup,A110,A231
sup,A110,A256
sup,A110,A381
sup,A113,A62
sup,A113,A201
sup,A113,A203
sup,A113,A302
sup,A113,A206
sup,A113,A284
sup,A113,A218
sup,A113,A393
sup,A115,A201
sup,A115,A68
sup,A115,A125
sup,A115,A230
sup,A115,A12
sup,A115,A222
sup,A117,A211
sup,A117,A161
sup,A117,A308
sup,A117,A25
sup,A117,A338
sup,A117,A162
sup,A117,A112
sup,A117,A110
sup,A117,A246
sup,A117,A262
sup,A117,A343
sup,A118,A125
sup,A118,A61
sup,A118,A4
sup,A118,A361
sup,A118,A350
sup,A118,A35
sup,A118,A3
sup,A118,A234
sup,A122,A355
sup,A122,A195
sup,A122,A372
sup,A122,A39
sup,A122,A214
sup,A128,A368
sup,A128,A330
sup,A128,A234
sup,A128,A140
sup,A128,A202
sup,A128,A78
sup,A128,A281
sup,A128,A245
sup,A128,A181
sup,A128,A30
sup,A128,A353
sup,A129,A127
sup,A129,A244
sup,A129,A27
sup,A129,A120
sup,A129,A212
sup,A129,A187
sup,A129,A1
sup,A132,A390
sup,A132,A181
sup,A132,A134
sup,A132,A88
sup,A132,A144
sup,A132,A72
sup,A132,A106
sup,A132,A255
sup,A132,A316
sup,A132,A313
sup,A133,A216
sup,A133,A225
sup,A133,A383
sup,A133,A384
sup,A133,A312
sup,A133,A53
sup,A133,A89
sup,A133,A322
sup,A133,A287
sup,A133,A95
sup,A135,A192
sup,A135,A102
sup,A135,A300
sup,A135,A90
sup,A135,A99
sup,A137,A199
sup,A137,A283
sup,A138,A331
sup,A138,A203
sup,A138,A169
sup,A138,A333
sup,A138,A357
sup,A138,A202
sup,A138,A90
sup,A138,A160
sup,A139,A173
sup,A140,A210
sup,A140,A333
sup,A140,A15
sup,A140,A259
sup,A140,A83
sup,A140,A90
sup,A140,A62
sup,A141,A237
sup,A141,A166
sup,A141,A152
sup,A141,A396
sup,A141,A30
sup,A141,A25
sup,A141,A40
sup,A141,A229
sup,A143,A160
sup,A143,A169
sup,A143,A265
sup,A143,A215
sup,A143,A258
sup,A143,A124
sup,A143,A48
sup,A143,A119
sup,A144,A110
sup,A144,A133
sup,A144,A163
sup,A144,A151
sup,A144,A310
sup,A144,A382
sup,A146,A324
sup,A146,A243
sup,A146,A40
sup,A146,A228
sup,A146,A128
sup,A146,A376
sup,A146,A303
sup,A148,A163
sup,A148,A218
sup,A148,A112
sup,A148,A374
sup,A148,A177
sup,A148,A140
sup,A148,A181
sup,A148,A44
sup,A148,A100
sup,A149,A142
sup,A149,A182
sup,A149,A52
sup,A149,A389
sup,A150,A328
sup,A155,A17
sup,A156,A15
sup,A158,A154
sup,A158,A389
sup,A158,A223
sup,A158,A390
sup,A158,A52
sup,A158,A392
sup,A158,A251
sup,A158,A50
sup,A159,A216
sup,A159,A187
sup,A160,A364
sup,A160,A322
sup,A160,A391
sup,A160,A359
sup,A160,A319
sup,A160,A333
sup,A160,A163
sup,A160,A387
sup,A160,A142
sup,A160,A165
sup,A160,A211
sup,A160,A205
sup,A162,A171
sup,A162,A332
sup,A162,A253
sup,A162,A136
sup,A162,A354
sup,A163,A273
sup,A163,A328
sup,A163,A51
sup,A163,A49
sup,A163,A359
sup,A163,A126
sup,A163,A149
sup,A163,A133
sup,A163,A228
sup,A163,A342
sup,A163,A380
